r_datetime,url,title,citation,snippet
2020-09-23T05:53:43Z,https://pubmed.ncbi.nlm.nih.gov/?term=HSP-70&sort=date&size=20,SEM and qRT-PCR revealed quercetin inhibits morphogenesis of Aspergillus flavus conidia via modulating calcineurin-Crz1 signalling pathway.,Mycology. 2020 Jan 13;11(2):118-125. doi: 10.1080/21501203.2020.1711826.,Significant inhibition of conidial swelling of A. flavus in comparison to control was observed at 4 and 7 h Quantitative real-time PCR for genes from calcium signalling pathway and heat-shock proteins family showed up-regulation of heat shock ( …
2020-09-23T05:53:43Z,https://pubmed.ncbi.nlm.nih.gov/?term=HSP-70&sort=date&size=20,"Manipulation of Quercetin and Melatonin in the Down-Regulation of HIF-1α, HSP-70 and VEGF Pathways in Rat's Kidneys Induced by Hypoxic Stress.",Dose Response. 2020 Aug 28;18(3):1559325820949797. doi: 10.1177/1559325820949797. eCollection 2020 Jul-Sep.,"Over protein-expression of vascular endothelial growth factor and heat shock, protein-70 and mRNA of HIF-1α were also observed. ...HIF-1α and HSP-70 are implicated in the induction of hypoxia and its treatment...."
2020-09-23T05:53:43Z,https://pubmed.ncbi.nlm.nih.gov/?term=HSP-70&sort=date&size=20,Overexpression of miR-144-3p alleviates polycystic ovaries syndrome through targeting expression of HSP-70.,Gene Ther. 2020 Sep 11. doi: 10.1038/s41434-020-00191-0. Online ahead of print.,"Moreover, HSP-70 was a direct target of miR-144-3p. Furthermore, increased expression of HSP-70 rescued the effects of miR-144-3p on ovarian granulosa cell growth and apoptosis. In addition, knockdown of HSP-70 alleviated endocrine disord …"
2020-09-23T05:53:43Z,https://pubmed.ncbi.nlm.nih.gov/?term=HSP-70&sort=date&size=20,Hepatotoxic effect of lead and hepatoprotective effect of Hydrilla verticillata on hepatic transcriptional and physiological response in edible fish Labeo rohita.,Drug Chem Toxicol. 2020 Sep 9:1-8. doi: 10.1080/01480545.2020.1815762. Online ahead of print.,"The metal binding stress proteins, heat shock proteins (Hsp60 & Hsp70) and metallothionein were also upregulated due to lead toxicity. ...Administration of supplementary feed to the lead intoxicated protective group significantly decreased t …"
2020-09-23T05:53:43Z,https://pubmed.ncbi.nlm.nih.gov/?term=HSP-70&sort=date&size=20,Intravenous Immunoglobulin G Suppresses Heat Shock Protein (HSP)-70 Expression and Enhances the Activity of HSP90 and Proteasome Inhibitors.,Front Immunol. 2020 Aug 13;11:1816. doi: 10.3389/fimmu.2020.01816. eCollection 2020.,"We evaluated IVIgG alone, and with a Heat shock protein (HSP)-90 or proteasome inhibitor, using multiple myeloma and mantle cell lymphoma (MCL) cells in vitro, and with the proteasome inhibitor bortezomib in vivo. ...Preparations of IVIgG were found to contai …"
2020-09-23T05:53:43Z,https://pubmed.ncbi.nlm.nih.gov/?term=HSP-70&sort=date&size=20,Biological Responses to Cadmium Stress in Liverwort Conocephalum conicum (Marchantiales).,Int J Mol Sci. 2020 Sep 4;21(18):E6485. doi: 10.3390/ijms21186485.,"Oxidative damage (production and localization of reactive oxygen species) and related response mechanisms (activity of antioxidant enzymes), and induction of Heat Shock Protein 70 expression, have been studied in the toxi-tolerant liverwort Conocephalum conic …"
2020-09-23T05:53:43Z,https://pubmed.ncbi.nlm.nih.gov/?term=HSP-70&sort=date&size=20,Addition of exogenous proteins detected in oviductal secretions to in vitro culture medium does not improve the efficiency of in vitro fertilization in pigs.,Theriogenology. 2020 Aug 27;157:490-497. doi: 10.1016/j.theriogenology.2020.08.017. Online ahead of print.,"This work was designed to study whether HSP70-1A, HSP90α, ezrin or PDI4, proteins previously identified in porcine oviductal secretions, have a role in zona pellucida (ZP) resistance to enzymatic digestion, in vitro fertilization (IVF) and sperm viability. ...Sperm …"
2020-09-23T05:53:43Z,https://pubmed.ncbi.nlm.nih.gov/?term=HSP-70&sort=date&size=20,[Clinical value of biomarkers in diagnosis and treatment of idiopathic pulmonary fibrosis].,Nan Fang Yi Ke Da Xue Xue Bao. 2020 Jul 30;40(7):1062-1065. doi: 10.12122/j.issn.1673-4254.2020.07.23.,"These biomarkers play important roles in early diagnosis (such as SP-D, MMP-7, and osteopontin), prognostic evaluation (such as telomerase length, KL-6, mtDNA, HSP-70, LOXL2, CXCL13, miRNA, ICAM-1, and CCL18), and guiding treatment of IPF (such as TOLLIP rs3750920 g …"
2020-09-23T05:53:43Z,https://pubmed.ncbi.nlm.nih.gov/?term=HSP-70&sort=date&size=20,Participation of Hsp70 and Hsp90α Heat Shock Proteins in Stress Response in the Course of Type 1 Diabetes Mellitus.,Dokl Biol Sci. 2020 Jul;493(1):124-127. doi: 10.1134/S0012496620040079. Epub 2020 Sep 7.,"The role of two heat shock proteins, Hsp70 and Hsp90α, on stress response in mice with severe diabetes mellitus induced by a high dose of alloxan (500 mg/kg body weight), as well as in RIN-m5F β cells cultured in the presence of cytokines (IL-1 and TNF …"
2020-09-23T05:53:43Z,https://pubmed.ncbi.nlm.nih.gov/?term=HSP-70&sort=date&size=20,Cellular and functional adaptation to thermal stress in ovarian granulosa cells in mammals.,J Therm Biol. 2020 Aug;92:102688. doi: 10.1016/j.jtherbio.2020.102688. Epub 2020 Aug 12.,"Additionally, thermal stress induces upregulation of thermal shock proteins, such as HSP70 and HSP90. This review provides an update on the influence of thermal stress on GCs of mammals. Discussions include impacts to steroidogenesis (estradiol and progestero …"
2020-09-23T05:53:47Z,https://pubmed.ncbi.nlm.nih.gov/?term=PACRITINIB&sort=date&size=20,"Combined inhibition of JAK2-STAT3 and SMO-GLI1/tGLI1 pathways suppresses breast cancer stem cells, tumor growth, and metastasis.",Oncogene. 2020 Sep 14. doi: 10.1038/s41388-020-01454-1. Online ahead of print.,"Herein, we show that novel combinations of JAK2 inhibitors (ruxolitinib and pacritinib) with SMO inhibitors (vismodegib and sonidegib) synergistically inhibited in vitro growth of TNBC and HER2-positive trastuzumab-resistant BT474-TtzmR cells. ..."
2020-09-23T05:53:47Z,https://pubmed.ncbi.nlm.nih.gov/?term=PACRITINIB&sort=date&size=20,JAK Inhibition for the Treatment of Myelofibrosis: Limitations and Future Perspectives.,Hemasphere. 2020 Jul 21;4(4):e424. doi: 10.1097/HS9.0000000000000424. eCollection 2020 Aug.,"Newer JAK inhibitors that are distinguished from ruxolitinib and fedratinib by their ability to improve anemia (eg, momelotinib) or safety and efficacy in severely thrombocytopenic patients (eg, pacritinib) are in phase 3 clinical trials. ..."
2020-09-23T05:53:47Z,https://pubmed.ncbi.nlm.nih.gov/?term=PACRITINIB&sort=date&size=20,"The Next Generation of JAK Inhibitors: an Update on Fedratinib, Momelotonib, and Pacritinib.",Curr Hematol Malig Rep. 2020 Aug 11. doi: 10.1007/s11899-020-00596-z. Online ahead of print.,"Fedratinib, momelotinib, and pacritinib are three newer-generation JAK inhibitors being prospectively evaluated and we will discuss their roles in the treatment of myeloproliferative neoplasms. ...Pacritinib has been studied in myelofibrosis patients with significan …"
2020-09-23T05:53:47Z,https://pubmed.ncbi.nlm.nih.gov/?term=PACRITINIB&sort=date&size=20,Less Can Be More When Targeting Interleukin-6-Mediated Cytokine Release Syndrome in Coronavirus Disease 2019.,Crit Care Explor. 2020 Jun 15;2(6):e0138. doi: 10.1097/CCE.0000000000000138. eCollection 2020 Jun.,"Cytokine release syndrome mediated by interleukin-6 is a critical driver of coronavirus disease 2019 mortality. Herein, we review and discuss key immunologic effects of direct interleukin-6 blockade, downstream nonselective Janus kinase inhibition, and selective Jan …"
2020-09-23T05:53:47Z,https://pubmed.ncbi.nlm.nih.gov/?term=PACRITINIB&sort=date&size=20,The role of fedratinib for the treatment of patients with primary or secondary myelofibrosis.,Ther Adv Hematol. 2020 May 15;11:2040620720925201. doi: 10.1177/2040620720925201. eCollection 2020.,"This medication was found to be effective in reduction of symptom burden and spleen size; however, the median duration of response is about 3 years. ...Additional JAK-i have been developed over the last 8 years, including fedratinib, momelotinib, and pacritinib …"
2020-09-23T05:53:47Z,https://pubmed.ncbi.nlm.nih.gov/?term=PACRITINIB&sort=date&size=20,Combination of a mitogen-activated protein kinase inhibitor with the tyrosine kinase inhibitor pacritinib combats cell adhesion-based residual disease and prevents re-expansion of FLT3-ITD acute myeloid leukaemia.,Br J Haematol. 2020 May 11. doi: 10.1111/bjh.16665. Online ahead of print.,Relapse rates are high even with the integration of first-generation FMS-like tyrosine kinase 3 (FLT3) inhibitors in pre- and post-transplant regimes and as maintenance in FLT3-mutated AML. ...
2020-09-23T05:53:47Z,https://pubmed.ncbi.nlm.nih.gov/?term=PACRITINIB&sort=date&size=20,Management of Myelofibrosis: from Diagnosis to New Target Therapies.,Curr Treat Options Oncol. 2020 Apr 30;21(6):46. doi: 10.1007/s11864-020-00734-y.,"Median survival ranges from approximately 3.5 to 5.5 years; while the most frequent cause of death is the evolution to acute myeloid leukemia, also other conditions such as progression without transformation, complications due to cytopenias including i …"
2020-09-23T05:53:47Z,https://pubmed.ncbi.nlm.nih.gov/?term=PACRITINIB&sort=date&size=20,EGFR blockade in GBM brain tumor stem cells synergizes with JAK2/STAT3 pathway inhibition to abrogate compensatory mechanisms in vitro and in vivo.,Neurooncol Adv. 2020 Jan-Dec;2(1):vdaa020. doi: 10.1093/noajnl/vdaa020. Epub 2020 Feb 18.,RESULTS: We show that afatinib and pacritinib decreased BTSC growth and sphere-forming capacity in vitro. Combinations of the 2 drugs were synergistic and abrogated the activation of STAT3 signaling observed upon EGFR inhibition in vitro and in vivo. ...Combined inh …
2020-09-23T05:53:47Z,https://pubmed.ncbi.nlm.nih.gov/?term=PACRITINIB&sort=date&size=20,Management of myelofibrosis after ruxolitinib failure.,Ann Hematol. 2020 Jun;99(6):1177-1191. doi: 10.1007/s00277-020-04002-9. Epub 2020 Mar 20.,"Ruxolitinib reduces splenomegaly to some degree in almost all treated patients; however, many patients cannot tolerate ruxolitinib due to dose-dependent drug-related cytopenias, and even patients with a good initial response often develop resistance to ruxolitinib after 2- …"
2020-09-23T05:53:47Z,https://pubmed.ncbi.nlm.nih.gov/?term=PACRITINIB&sort=date&size=20,"A novel human colon signet-ring cell carcinoma organoid line: establishment, characterization and application.",Carcinogenesis. 2020 Jul 14;41(7):993-1004. doi: 10.1093/carcin/bgz178.,"An in vitro drug screening found that AT9283 and Pacritinib could be effective JAK2 inhibitors, which was consistent with the in vivo xenograft response. ..."
2020-09-23T05:53:47Z,https://pubmed.ncbi.nlm.nih.gov/?term=PACRITINIB&sort=date&size=20,Novel treatment strategies for myeloproliferative neoplasms.,Rinsho Ketsueki. 2019;60(9):1176-1185. doi: 10.11406/rinketsu.60.1176.,"Several newer JAK inhibitors (fedratinib, pacritinib, momelotinib) have shown activity in phase 3 trials in patients with myelofibrosis but have, for various reasons, not yet received regulatory approval; all these agents, however, remain in active clinical developm …"
2020-09-23T05:53:47Z,https://pubmed.ncbi.nlm.nih.gov/?term=PACRITINIB&sort=date&size=20,"Comparative phenotypic profiling of the JAK2 inhibitors ruxolitinib, fedratinib, momelotinib, and pacritinib reveals distinct mechanistic signatures.",PLoS One. 2019 Sep 27;14(9):e0222944. doi: 10.1371/journal.pone.0222944. eCollection 2019.,"To provide further translational insights into clinical outcomes, we compared phenotypic biomarker profiles of ruxolitinib, fedratinib, momelotinib, and pacritinib in the BioMAP® Diversity PLUS panel of 12 human primary cell systems designed to recapitulate key aspe …"
2020-09-23T05:53:47Z,https://pubmed.ncbi.nlm.nih.gov/?term=PACRITINIB&sort=date&size=20,Preclinical Evidence of STAT3 Inhibitor Pacritinib Overcoming Temozolomide Resistance via Downregulating miR-21-Enriched Exosomes from M2 Glioblastoma-Associated Macrophages.,J Clin Med. 2019 Jul 2;8(7):959. doi: 10.3390/jcm8070959.,We found that GBM-associated macrophages (GAMs) secreted exosomes which were enriched with oncomiR-21. Coculture of GAMs (and GAM-derived exosomes) and GBM cell lines increased GBM cells' resistance against temozolomide (TMZ) by upregulating the prosurvival gene programmed …
2020-09-23T05:53:47Z,https://pubmed.ncbi.nlm.nih.gov/?term=PACRITINIB&sort=date&size=20,"Preclinical activity and a pilot phase I study of pacritinib, an oral JAK2/FLT3 inhibitor, and chemotherapy in FLT3-ITD-positive AML.",Invest New Drugs. 2020 Apr;38(2):340-349. doi: 10.1007/s10637-019-00786-4. Epub 2019 May 17.,"We determined that pacritinib, a JAK2/FLT3 inhibitor, has in vitro activity against FLT3-ITD and tyrosine kinase domain (TKD) mutations. ...Pacritinib was administered at a dose of 100 mg or 200 mg twice daily following a 3 + 3 dose-escalation in combi …"
2020-09-23T05:53:47Z,https://pubmed.ncbi.nlm.nih.gov/?term=PACRITINIB&sort=date&size=20,New Concepts of Treatment for Patients with Myelofibrosis.,Curr Treat Options Oncol. 2019 Jan 24;20(1):5. doi: 10.1007/s11864-019-0604-y.,"Seven years after the approval of the Janus kinase 1/2 (JAK1/2) inhibitor ruxolitinib, it remains the only drug licensed for the treatment of myelofibrosis. ...Pacritinib, a non-myelosuppressive JAK2-selective inhibitor, is currently in a dose-ranging …"
2020-09-23T05:53:47Z,https://pubmed.ncbi.nlm.nih.gov/?term=PACRITINIB&sort=date&size=20,Pacritinib in Patients with Myelofibrosis-Reply.,JAMA Oncol. 2018 Dec 1;4(12):1787. doi: 10.1001/jamaoncol.2018.4842.,
2020-09-23T05:53:47Z,https://pubmed.ncbi.nlm.nih.gov/?term=PACRITINIB&sort=date&size=20,Pacritinib in Patients With Myelofibrosis.,JAMA Oncol. 2018 Dec 1;4(12):1786-1787. doi: 10.1001/jamaoncol.2018.4830.,
2020-09-23T05:53:47Z,https://pubmed.ncbi.nlm.nih.gov/?term=PACRITINIB&sort=date&size=20,Inhibition of interleukin-1 receptor-associated kinase 1 (IRAK1) as a therapeutic strategy.,Oncotarget. 2018 Sep 7;9(70):33416-33439. doi: 10.18632/oncotarget.26058. eCollection 2018 Sep 7.,"Interleukin-1 receptor-associated kinases (IRAK1, IRAK2, IRAK3 [IRAK-M], and IRAK4) are serine-threonine kinases involved in toll-like receptor and interleukin-1 signaling pathways, through which they regulate innate immunity and inflammation. ..."
2020-09-23T05:53:47Z,https://pubmed.ncbi.nlm.nih.gov/?term=PACRITINIB&sort=date&size=20,Pacritinib to treat myelofibrosis patients with thrombocytopenia.,Expert Rev Hematol. 2018 Sep;11(9):707-714. doi: 10.1080/17474086.2018.1500456. Epub 2018 Jul 19.,"Treatment with ruxolitinib, a selective JAK1/2 inhibitor, has significantly improved the lives of patients with myelofibrosis. ...Safety concerns pertaining to cardiovascular events and bleeding that arose in an early analysis of PERSIST-2 were likely related to the …"
2020-09-23T05:53:47Z,https://pubmed.ncbi.nlm.nih.gov/?term=PACRITINIB&sort=date&size=20,Pilot study of the antifibrotic effects of the multikinase inhibitor pacritinib in a mouse model of liver fibrosis.,J Exp Pharmacol. 2018 May 9;10:9-17. doi: 10.2147/JEP.S150729. eCollection 2018.,"Although JAK2 inhibitors, such as the JAK1/2 inhibitor ruxolitinib and the JAK2/FLT3/CSF1R/IRAK1 inhibitor pacritinib suppress abnormal clone expansion in myelofibrosis, ruxolitinib does not appear to prevent or reverse bone-marrow fibrosis in most patients. ...METH …"
2020-09-23T05:53:50Z,https://pubmed.ncbi.nlm.nih.gov/?term=MIDOSTAURIN&sort=date&size=20,Targeting the histone demethylase PHF8-mediated PKCα-Src-PTEN axis in HER2-negative gastric cancer.,Proc Natl Acad Sci U S A. 2020 Sep 21:201919766. doi: 10.1073/pnas.1919766117. Online ahead of print.,"GC cells treated with midostaurin or bosutinib significantly suppressed migration in vitro and in zebrafish models. Immunohistochemical analyses of PHF8, PKCα, and PTEN showed a positive correlation between PHF8 and PKCα but negative correlations between PHF8 and PTEN and …"
2020-09-23T05:53:50Z,https://pubmed.ncbi.nlm.nih.gov/?term=MIDOSTAURIN&sort=date&size=20,Midostaurin in acute myeloid leukemia: review of current evidence and practical considerations in routine clinical use.,Minerva Med. 2020 Sep 21. doi: 10.23736/S0026-4806.20.07014-7. Online ahead of print.,"We enumerate the practical issues faced in the use of midostaurin like antifungal prophylaxis, dosage of concomitant chemotherapy agents as well as available data on sequencing of the FLT3 inhibitors. Lastly we provide our perspective of the future directions for FLT3 inhi …"
2020-09-23T05:53:50Z,https://pubmed.ncbi.nlm.nih.gov/?term=MIDOSTAURIN&sort=date&size=20,FLT3 inhibitors in the treatment of Acute Myeloid Leukemia: current status and future perspectives.,Minerva Med. 2020 Sep 21. doi: 10.23736/S0026-4806.20.06989-X. Online ahead of print.,"First-generation multi-kinase inhibitors (sorafenib, midostaurin, lestaurtinib) are characterized by a broad-spectrum of drug targets, whereas secondgeneration inhibitors (quizartinib, crenolanib, gilteritinib) show more potent and specific FLT3 inhibition, and are thereby …"
2020-09-23T05:53:50Z,https://pubmed.ncbi.nlm.nih.gov/?term=MIDOSTAURIN&sort=date&size=20,Midostaurin in combination with chemotherapy is most effective in patients with acute myeloid leukemia presenting with high FLT3-ITD allelic ratio who proceed to allogeneic stem cell transplantation while in first complete remission.,Eur J Haematol. 2020 Sep 18. doi: 10.1111/ejh.13518. Online ahead of print.,"In multivariate analysis, midostaurin use and allo-SCT in CR1 were the most significant factors affecting overall survival (OS). ...In low-AR patients, the midostaurin effect was much less prominent. CONCLUSIONS: Our results demonstrate benefits of midostaurin …"
2020-09-23T05:53:50Z,https://pubmed.ncbi.nlm.nih.gov/?term=MIDOSTAURIN&sort=date&size=20,"Indole alkaloids, synthetic dimers and hybrids with potential in vivo anticancer activity.",Curr Top Med Chem. 2020 Sep 8. doi: 10.2174/1568026620666200908162311. Online ahead of print.,"Vinblastine, midostaurin, and anlotinib as the representative of indole alkaloids, synthetic dimers and hybrids respectively have already been clinically applied to treat many types of cancers, demonstrating indole alkaloids, synthetic dimers and hybrids are useful scaffol …"
2020-09-23T05:53:50Z,https://pubmed.ncbi.nlm.nih.gov/?term=MIDOSTAURIN&sort=date&size=20,FLT3 Inhibition in Acute Myeloid Leukemia.,Clin Lymphoma Myeloma Leuk. 2020 Sep;20 Suppl 1:S5-S6. doi: 10.1016/S2152-2650(20)30441-9.,The approved FLT3 tyrosine kinase inhibitors (TKIs) midostaurin and gilteritinib improve survival in AML with FLT3 mutations. ...
2020-09-23T05:53:50Z,https://pubmed.ncbi.nlm.nih.gov/?term=MIDOSTAURIN&sort=date&size=20,The FMS like Tyrosine Kinase 3 (FLT3) Is Overexpressed in a Subgroup of Multiple Myeloma Patients with Inferior Prognosis.,Cancers (Basel). 2020 Aug 19;12(9):E2341. doi: 10.3390/cancers12092341.,"Anti-myeloma activity of FLT3 inhibitors (midostaurin, gilteritinib) was tested in vitro on MM cell lines and primary MM cells by (3)H-tymidine incorporation assays or flow cytometry. ..."
2020-09-23T05:53:50Z,https://pubmed.ncbi.nlm.nih.gov/?term=MIDOSTAURIN&sort=date&size=20,Updated safety of midostaurin plus chemotherapy in newly diagnosed FLT3 mutation-positive acute myeloid leukemia: the RADIUS-X expanded access program.,Leuk Lymphoma. 2020 Aug 19:1-8. doi: 10.1080/10428194.2020.1805109. Online ahead of print.,RADIUS-X (NCT02624570) was an expanded access program providing access to midostaurin during regulatory review and extending the understanding of the safety and tolerability of midostaurin. ...Midostaurin demonstrated a manageable safety profile and was assoc …
2020-09-23T05:53:50Z,https://pubmed.ncbi.nlm.nih.gov/?term=MIDOSTAURIN&sort=date&size=20,Genomic markers of midostaurin drug sensitivity in FLT3 mutated and FLT3 wild-type acute myeloid leukemia patients.,Oncotarget. 2020 Jul 21;11(29):2807-2818. doi: 10.18632/oncotarget.27656. eCollection 2020 Jul 21.,"Midostaurin was the first FLT3 inhibitor FDA approved for AML and is standard of care for FLT3 mutant patients undergoing induction chemotherapy [1, 2]. ...We observed a correlation between FLT3-ITD mutations and midostaurin sensitivity as expected and observed KRAS …"
2020-09-23T05:53:50Z,https://pubmed.ncbi.nlm.nih.gov/?term=MIDOSTAURIN&sort=date&size=20,Towards better combination regimens of cytarabine and FLT3 inhibitors in acute myeloid leukemia.,Cancer Chemother Pharmacol. 2020 Sep;86(3):325-337. doi: 10.1007/s00280-020-04114-z. Epub 2020 Aug 3.,"The effect of FLT3i (quizartinib, midostaurin, sorafenib) on cell proliferation and cell cycle kinetics was assessed in AML cell lines with differing FLT3 status; HEL (negligible expression of wild-type FLT3), EOL1 (wild-type FLT3), MV4-11 (FLT3-ITD resulting in constituti …"
2020-09-23T05:53:50Z,https://pubmed.ncbi.nlm.nih.gov/?term=MIDOSTAURIN&sort=date&size=20,Management of Acute Myeloid Leukemia (AML) in Older Patients.,Curr Oncol Rep. 2020 Jul 28;22(10):103. doi: 10.1007/s11912-020-00964-1.,"We focus on multiple newly approved medications, including venetoclax, midostaurin, CPX-351, gemtuzumab, glasdegib, enasidenib, and ivosidenib, and their specific indications. ..."
2020-09-23T05:53:50Z,https://pubmed.ncbi.nlm.nih.gov/?term=MIDOSTAURIN&sort=date&size=20,Mechanisms Underlying Resistance to FLT3 Inhibitors in Acute Myeloid Leukemia.,Biomedicines. 2020 Jul 24;8(8):245. doi: 10.3390/biomedicines8080245.,"FLT3 inhibitors such as midostaurin, gilteritinib and quizartinib show excellent response rates in patients with FLT3-mutated AML, but its duration of response may not be sufficient yet. ...On-target mutations (i.e., FLT3-TKD) such as D835Y keep the TK domain in its active …"
2020-09-23T05:53:50Z,https://pubmed.ncbi.nlm.nih.gov/?term=MIDOSTAURIN&sort=date&size=20,The Time Has Come for Targeted Therapies for AML: Lights and Shadows.,Oncol Ther. 2020 Jun;8(1):13-32. doi: 10.1007/s40487-019-00108-x. Epub 2020 Jan 24.,"These therapies include FLT3 inhibitors midostaurin and gilteritinib, CPX-351 (liposomal cytarabine and daunorubicin), gemtuzumab ozogamicin (GO, anti-CD33 monoclonal antibody conjugated with calicheamicin), IDH1/IDH2 inhibitors ivosidenib and enasidenib, Hedgehog inhibito …"
2020-09-23T05:53:50Z,https://pubmed.ncbi.nlm.nih.gov/?term=MIDOSTAURIN&sort=date&size=20,Drug-drug interactions of newly approved small molecule inhibitors for acute myeloid leukemia.,Ann Hematol. 2020 Sep;99(9):1989-2007. doi: 10.1007/s00277-020-04186-0. Epub 2020 Jul 18.,"In this systematic review, we analyze DDIs of glasdegib, venetoclax, midostaurin, quizartinib, gilteritinib, enasidenib, and ivosidenib. CYP3A4 is the main enzyme responsible for SMIs metabolism, and strong CYP3A4 inhibitors, such azoles, could increase drug exposure and t …"
